sep=,
index,exp_1,exp_2,sin_1,cos_1
57,89321.7657507516,89321.7369529015,-0.9835091624845196,0.47965531664180083
58,109097.78171541194,109097.86185337737,-0.8341617602371886,0.51261693967177
59,133252.37213415455,133252.3570139637,-0.7349207194932315,0.7959619574410639
60,162754.8200907008,162754.78361803162,-0.5241385791201518,0.8429197164949211
61,198789.23152461968,198789.097935499,-0.337069794151483,0.9237702025426817
62,242801.65857459125,242801.61104297836,-0.10332927213754103,0.8998188466965054
63,296558.5431809322,296558.48970337625,0.08028253480478915,1.0617680679779353
64,362217.4595371841,362217.4179808583,0.16372018841667618,0.9488308627966728
65,442413.377769724,442413.3549145109,0.3955689243222803,0.8947019532179459
66,540364.8817972036,540364.9101922776,0.5561218937046084,0.8310997173388253
67,660003.3187436177,660003.3083247924,0.707159025135945,0.5794847095831624
68,806129.6762670823,806129.8302618049,0.9411173999405175,0.4895557830771272
69,984609.061294825,984609.0823054323,0.9827719920190183,0.31322491422780635
70,1202604.3224001501,1202604.3134337165,0.892718078980113,0.046083643798965415
71,1468864.2081049627,1468864.1351224466,0.9451590405542482,-0.0852655707496513
72,1794074.703918289,1794074.6952551664,0.9124029921765403,-0.2862201323956909
73,2191287.8413260975,2191287.9323150157,0.9265713359890572,-0.3618038358055039
74,2676445.031862158,2676445.0864696824,0.8709852889153596,-0.5689414014554957
75,3269017.442754341,3269017.466009547,0.6575588893868329,-0.8414651180272096
76,3992786.83434421,3992786.766164927,0.5111970301997963,-0.9393529651594732
77,4876800.79098398,4876800.876900703,0.28503860668418624,-0.872103877916684
78,5956538.0552686555,5956537.998020478,0.016940343487658258,-1.0404979476852154
79,7275332.000787653,7275331.912694929,-0.11707420775823132,-1.0348729155201402
80,8886110.511437964,8886110.58264178,-0.2637051757483874,-0.8774662204506355
81,10853519.964220129,10853519.807282247,-0.4854089385276128,-0.7970872559251172
82,13256519.16163381,13256519.17319931,-0.6056584456765668,-0.7063689717405717
83,16191549.041738005,16191548.993417602,-0.8192068317538196,-0.6969254852381452
84,19776402.571827482,19776402.606850266,-0.815241211518658,-0.42457467482345806
85,24154952.846450336,24154952.718218632,-0.921475357970011,-0.31807468229507696
86,29502926.001869332,29502925.89813537,-0.952717472644133,-0.16861373823884243
87,36034955.09824567,36034955.0681326,-0.9819585951570131,0.16875908282098187
88,44013193.44082876,44013193.625490524,-0.917588323533584,0.3965208223376441
89,53757835.99343716,53757836.00461177,-0.7924296910526468,0.4727895652397567
90,65659969.11833779,65659969.18730038,-0.7175628942911447,0.6901371541320166
91,80197267.35851459,80197267.37488079,-0.6480350676478388,0.7280155164052295
92,97953163.56124038,97953163.62784275,-0.34366971867907736,0.8022819774491734
93,119640264.13755049,119640264.21819013,-0.14950220144972304,1.0399291506934139
94,146128948.60516083,146128948.65458852,-0.08405231071118474,0.9959294441115809
95,178482300.93496084,178482300.96224692,0.1568733218091389,1.071376314501001
96,217998774.60318312,217998774.61392996,0.3248862295129799,0.8958160732015467
97,266264304.70068163,266264304.60396007,0.6057322501242556,0.88814070748906
98,325215956.05644584,325215956.03117174,0.7609345073856468,0.7065312562165514
99,397219665.8044568,397219665.8930919,0.7472815301119267,0.5819487284674746
